timestamp,Sonar_normal,Sonar_abnormal,Thruster_normal,Thruster_abnormal
1774864600.515,0.666,0.334,1.000,0.000
1774864600.525,0.674,0.326,1.000,0.000
1774864600.535,1.000,0.000,1.000,0.000
1774864600.545,1.000,0.000,0.064,0.936
1774864600.555,1.000,0.000,1.000,0.000
1774864600.566,1.000,0.000,1.000,0.000
1774864600.576,1.000,0.000,0.920,0.080
1774864600.586,1.000,0.000,0.979,0.021
1774864600.596,1.000,0.000,1.000,0.000
1774864600.606,1.000,0.000,0.589,0.411
1774864600.616,1.000,0.000,1.000,0.000
1774864600.627,1.000,0.000,1.000,0.000
1774864600.637,1.000,0.000,0.953,0.047
1774864600.647,0.712,0.288,0.831,0.169
1774864600.657,1.000,0.000,1.000,0.000
1774864600.667,1.000,0.000,1.000,0.000
1774864600.677,1.000,0.000,1.000,0.000
1774864600.688,1.000,0.000,1.000,0.000
1774864600.698,1.000,0.000,1.000,0.000
1774864600.708,1.000,0.000,0.726,0.274
1774864600.718,1.000,0.000,1.000,0.000
1774864600.728,1.000,0.000,1.000,0.000
1774864600.739,1.000,0.000,1.000,0.000
1774864600.749,0.906,0.094,1.000,0.000
1774864600.759,1.000,0.000,1.000,0.000
1774864600.769,0.000,1.000,1.000,0.000
1774864600.779,1.000,0.000,1.000,0.000
1774864600.789,1.000,0.000,0.907,0.093
1774864600.800,1.000,0.000,1.000,0.000
1774864600.810,1.000,0.000,1.000,0.000
1774864600.820,0.000,1.000,0.803,0.197
1774864600.830,0.000,1.000,1.000,0.000
1774864600.840,0.000,1.000,1.000,0.000
1774864600.850,0.000,1.000,1.000,0.000
1774864600.860,0.000,1.000,1.000,0.000
1774864600.871,0.150,0.850,0.624,0.376
1774864600.881,0.000,1.000,1.000,0.000
1774864600.891,0.000,1.000,1.000,0.000
1774864600.901,0.000,1.000,1.000,0.000
1774864600.911,0.000,1.000,1.000,0.000
1774864600.922,0.000,1.000,1.000,0.000
1774864600.932,0.000,1.000,1.000,0.000
1774864600.942,0.000,1.000,0.899,0.101
1774864600.952,0.000,1.000,1.000,0.000
1774864600.963,0.089,0.911,1.000,0.000
1774864600.973,0.000,1.000,1.000,0.000
1774864600.983,0.000,1.000,1.000,0.000
1774864600.993,0.000,1.000,1.000,0.000
1774864601.004,0.000,1.000,0.854,0.146
1774864601.014,0.000,1.000,1.000,0.000
1774864601.024,0.000,1.000,1.000,0.000
1774864601.034,0.000,1.000,1.000,0.000
1774864601.044,1.000,0.000,1.000,0.000
1774864601.055,1.000,0.000,0.666,0.334
1774864601.065,0.825,0.175,1.000,0.000
1774864601.075,1.000,0.000,1.000,0.000
1774864601.085,1.000,0.000,1.000,0.000
1774864601.096,0.878,0.122,1.000,0.000
1774864601.106,1.000,0.000,1.000,0.000
1774864601.116,1.000,0.000,1.000,0.000
1774864601.126,1.000,0.000,1.000,0.000
1774864601.137,1.000,0.000,1.000,0.000
1774864601.147,0.000,1.000,0.793,0.207
1774864601.157,0.000,1.000,1.000,0.000
1774864601.167,0.000,1.000,1.000,0.000
1774864601.177,0.000,1.000,0.939,0.061
1774864601.188,0.312,0.688,1.000,0.000
1774864601.198,0.000,1.000,1.000,0.000
1774864601.208,0.000,1.000,0.775,0.225
1774864601.218,0.193,0.807,1.000,0.000
1774864601.229,0.000,1.000,1.000,0.000
1774864601.239,0.000,1.000,1.000,0.000
1774864601.249,0.000,1.000,1.000,0.000
1774864601.259,0.000,1.000,1.000,0.000
1774864601.270,0.000,1.000,0.926,0.074
1774864601.280,0.000,1.000,0.961,0.039
1774864601.290,0.000,1.000,1.000,0.000
1774864601.300,0.000,1.000,0.996,0.004
1774864601.311,1.000,0.000,1.000,0.000
1774864601.321,0.970,0.030,1.000,0.000
1774864601.331,1.000,0.000,0.998,0.002
1774864601.341,1.000,0.000,1.000,0.000
1774864601.352,1.000,0.000,1.000,0.000
1774864601.362,1.000,0.000,1.000,0.000
1774864601.372,1.000,0.000,1.000,0.000
1774864601.382,1.000,0.000,1.000,0.000
1774864601.393,1.000,0.000,1.000,0.000
1774864601.403,1.000,0.000,0.811,0.189
1774864601.413,1.000,0.000,1.000,0.000
1774864601.423,1.000,0.000,0.995,0.005
1774864601.433,1.000,0.000,1.000,0.000
1774864601.444,1.000,0.000,1.000,0.000
1774864601.454,1.000,0.000,1.000,0.000
1774864601.464,1.000,0.000,0.977,0.023
1774864601.474,0.491,0.509,1.000,0.000
1774864601.485,1.000,0.000,0.934,0.066
1774864601.495,1.000,0.000,1.000,0.000
1774864601.505,0.000,1.000,1.000,0.000
1774864601.515,0.000,1.000,1.000,0.000
1774864601.526,0.000,1.000,1.000,0.000
1774864601.536,0.000,1.000,0.989,0.011
1774864601.546,0.000,1.000,0.856,0.144
1774864601.556,0.000,1.000,1.000,0.000
1774864601.567,0.000,1.000,1.000,0.000
1774864601.577,1.000,0.000,0.899,0.101
1774864601.587,1.000,0.000,0.903,0.097
1774864601.598,1.000,0.000,1.000,0.000
1774864601.608,1.000,0.000,1.000,0.000
1774864601.618,0.753,0.247,1.000,0.000
1774864601.628,1.000,0.000,1.000,0.000
1774864601.639,0.915,0.085,0.567,0.433
1774864601.649,1.000,0.000,1.000,0.000
1774864601.659,1.000,0.000,0.371,0.629
1774864601.669,1.000,0.000,0.969,0.031
1774864601.679,1.000,0.000,0.931,0.069
1774864601.690,1.000,0.000,1.000,0.000
1774864601.700,0.000,1.000,1.000,0.000
1774864601.710,0.000,1.000,1.000,0.000
1774864601.720,0.000,1.000,1.000,0.000
1774864601.731,0.000,1.000,1.000,0.000
1774864601.741,0.000,1.000,0.952,0.048
1774864601.751,0.000,1.000,1.000,0.000
1774864601.761,0.000,1.000,1.000,0.000
1774864601.772,0.000,1.000,1.000,0.000
1774864601.782,0.000,1.000,0.801,0.199
1774864601.792,0.000,1.000,1.000,0.000
1774864601.802,0.000,1.000,1.000,0.000
1774864601.813,0.000,1.000,1.000,0.000
1774864601.823,0.000,1.000,1.000,0.000
1774864601.833,0.000,1.000,1.000,0.000
1774864601.843,0.000,1.000,1.000,0.000
1774864601.854,0.000,1.000,1.000,0.000
1774864601.864,0.000,1.000,1.000,0.000
1774864601.874,0.000,1.000,1.000,0.000
1774864601.884,0.000,1.000,1.000,0.000
1774864601.895,0.000,1.000,1.000,0.000
1774864601.905,0.000,1.000,1.000,0.000
1774864601.915,0.000,1.000,1.000,0.000
1774864601.925,0.000,1.000,1.000,0.000
1774864601.936,0.000,1.000,1.000,0.000
1774864601.946,0.000,1.000,1.000,0.000
1774864601.956,0.000,1.000,1.000,0.000
1774864601.966,0.000,1.000,1.000,0.000
1774864601.977,0.000,1.000,1.000,0.000
1774864601.987,0.000,1.000,1.000,0.000
1774864601.997,0.000,1.000,1.000,0.000
1774864602.007,0.469,0.531,1.000,0.000
1774864602.018,0.000,1.000,0.775,0.225
